high,low,close,open,volume,day_of_week,hour,minute,Return_5,MovingAvg_5,ExpMovingAvg_5,Volatility_5,Return_10,MovingAvg_10,ExpMovingAvg_10,Volatility_10,Return_20,MovingAvg_20,ExpMovingAvg_20,Volatility_20,Return_30,MovingAvg_30,ExpMovingAvg_30,Volatility_30,Return_50,MovingAvg_50,ExpMovingAvg_50,Volatility_50
146.6999969482422,145.4600067138672,146.24169921875,145.49000549316406,5343591,1,13,30,0.025645701390054843,143.347900390625,143.78971667261484,1.7399967883478917,0.0258975523532734,142.96127166748047,143.24967255663466,1.2218357758295186,0.027483294719116813,142.78432083129883,142.89309370687096,0.8621381160076315,0.0275569927104653,142.65385030110676,142.6868338503559,0.7095147064433809,0.031245100854739194,142.32876861572265,142.34121607976297,0.561528143474708
146.4600067138672,145.7126007080078,145.88330078125,146.2449951171875,2021809,1,13,35,0.021556025792863087,143.96356201171875,144.4875780421599,1.800659238100133,0.02367066454593303,143.29860229492186,143.72851405201925,1.2377279929615805,0.024821176861523853,142.96098556518555,143.1778753330023,0.8703075686861677,0.0246772900509733,142.77096048990884,142.89305752331683,0.7150143292257263,0.029667619443541016,142.41283477783202,142.48012136217423,0.5642588862935742
146.57000732421875,145.66000366210938,146.35009765625,145.88999938964844,1835343,1,13,40,0.02550690751266771,144.69158020019532,145.10841791352328,1.7623503838089258,0.02622605027621705,143.67261199951173,144.20516561642484,1.2353461185541852,0.02698215951502525,143.15324020385742,143.47999174474018,0.8726884161278393,0.02918495637885532,142.90929718017577,143.11609237060287,0.7156490152405406,0.03427552780003684,142.50983459472656,142.6318851384125,0.5654953508959782
146.41000366210938,145.8300018310547,146.25,146.35000610351562,1488308,1,13,45,0.02579173815460356,145.42702026367186,145.4889452756822,1.7578681158963265,0.025811829183767676,144.04061126708984,144.57695368616575,1.2377281317615987,0.02520066770506224,143.33299026489257,143.7438020547649,0.8751142170870285,0.026495832495291527,143.0351303100586,143.31827995959625,0.7164551934318238,0.03138220629387378,142.59883453369142,142.77377199572967,0.5653957464545263
146.5500030517578,145.63999938964844,145.64999389648438,146.25,1729229,1,13,50,0.0227511421322788,146.07501831054688,145.54262814928293,1.8233731874307442,0.021401309490230114,144.34579010009764,144.77205190622368,1.2723488316670393,0.020483942372855557,143.4791702270508,143.92534413492865,0.8922005020571276,0.02247473489650531,143.1418467203776,143.46871311681485,0.7282147667025335,0.030125721873378586,142.68402435302735,142.88656501144555,0.5694509765586766
146.02000427246094,145.42999267578125,145.57000732421875,145.64999389648438,1220810,1,13,55,-0.004593025779374482,145.94067993164063,145.55175454092821,0.3976617529578301,0.020934884243065666,144.6442901611328,144.9171347094955,1.2743794099183665,0.01931000100754887,143.6170555114746,144.08197872438484,0.8935604540907202,0.022548515735492103,143.24884694417318,143.60428048503445,0.7281377144736308,0.029527231695631873,142.7675244140625,142.99179804331902,0.5698205261024267
145.89999389648438,145.53500366210938,145.6699981689453,145.55999755859375,1188111,1,14,0,-0.0014621455037169273,145.89801940917968,145.5911690836006,0.38575335625282076,0.02006236224295499,144.93079071044923,145.05401897485,1.275765020431041,0.02059835023759482,143.76405563354493,144.23321867148582,0.8921247741126245,0.02396659767735998,143.36249694824218,143.73755259367388,0.7270969804128921,0.028779243003716815,142.84902435302735,143.09682549922593,0.5695787301695752
145.9199981689453,145.5,145.83009338378906,145.67820739746094,870845,1,14,5,-0.003553152890149347,145.7940185546875,145.67081051699677,0.29915400505217976,0.021863124680371104,145.2427993774414,145.1951234128389,1.269826199649974,0.022078082910796937,143.92156066894532,144.38530197741946,0.8909190939107258,0.024302795377716624,143.4778299967448,143.8725552252942,0.7271457273709887,0.029074070106008154,142.93142608642577,143.20401247509116,0.5696685484002502
145.92999267578125,145.69000244140625,145.75999450683594,145.8363037109375,692206,1,14,10,-0.0033504649105234874,145.69601745605468,145.70053851360984,0.2995524155835332,0.02235485893041167,145.56151885986327,145.2978272481111,1.267363329340479,0.022410774108062137,144.0813102722168,144.51622507545912,0.8902527409665181,0.02244666809093454,143.5844965616862,143.99432550152272,0.7277755086444817,0.02750201815777298,143.00945404052734,143.30424706457137,0.5699894295010965
145.9600067138672,145.44500732421875,145.68499755859375,145.75999450683594,844785,1,14,15,0.00024032724734790456,145.70301818847656,145.69535819527115,0.11436765507709723,0.022996937098989312,145.8890182495117,145.36822185001702,1.263956436376446,0.022350860060307065,144.24056015014648,144.62753674051956,0.8903883357549808,0.021956473246301567,143.68883005777994,144.10340111810797,0.728257873093813,0.027723837186772515,143.08805389404296,143.39760982904284,0.5698178016433088
145.7899932861328,145.27000427246094,145.41000366210938,145.69000244140625,833334,1,14,20,-0.0010991526692240017,145.6710174560547,145.60024001755056,0.17078381829576375,-0.005687130012053343,145.80584869384765,145.37581854312472,0.29352085183331006,0.020063139593993196,144.38356018066406,144.7020573997186,0.8954383817965004,0.021639863636836232,143.79149678548177,144.18769805643063,0.7290943311507309,0.02697935887435632,143.16445404052735,143.47652723426114,0.5709885016017587
145.52000427246094,145.13999938964844,145.32000732421875,145.4001007080078,1267275,1,14,25,-0.002402628194727141,145.60101928710938,145.5068291197733,0.15442727922108954,-0.0038612607064321125,145.74951934814453,145.36567104877818,0.27738503384285257,0.019718005232594482,144.5240608215332,144.7609097734805,0.8960456475192928,0.020864075120189174,143.89049682617187,144.26075026725567,0.7298006436643855,0.025329935122421876,143.23625427246094,143.54882057112223,0.5713919728404263
