close,volume,day_of_week,hour,minute,EMA_20,EMA_50,EMA_100,EMA_200,Support_pct_change,Resistance_pct_change,Delta_Close_Sum_0,Delta_Close_Sum_1,Delta_Close_Sum_2,RSI,MACD,MACD_Signal,p_Delta_High_1,p_Delta_Low_1,p_Delta_High_2,p_Delta_Low_2,p_Delta_High_3,p_Delta_Low_3,relative_volume,VWAP,ATR,ADX,true_label,prediction,probability_score
174.6999969482422,45044.0,3,20,30,-0.276766583067797,-0.43181686264608743,-0.675399377672818,-1.1306802496178818,0.004114370521661062,0.00017175964061577032,-0.0002564757357995175,-0.0004532512212367198,0.0011784426084009685,65.85649289184785,-0.06005256320796093,-0.06030496498537165,0.0009167163301483138,0.0016327971484054985,0.0008027488219496989,0.0005733420196442917,0.001260896527339845,0.0006304482636699225,-0.7872804635589579,0.0024063543903372975,0.18787057059151785,48.4927488597429,1,0,0.039886039886039885
174.5399932861328,50841.0,3,20,35,-0.1056426427718975,-0.26115385933920265,-0.5051898598097182,-0.9610181140009502,0.004132304739028275,0.0,0.001033761695699428,0.000778626569938415,-0.0008859400688513672,55.86019951590287,-0.062377610197415834,-0.06071949402778049,0.0006300510490800066,0.0019187322418508066,0.001218059837189502,0.0004449593586284926,0.0018925379382668773,-4.3579039776987325e-05,-0.7599042280392722,0.002406479411042452,0.18787057059151785,37.219648669062984,1,0,0.039886039886039885
174.44500732421875,45161.0,3,20,40,-0.009641758871396178,-0.15965150929082483,-0.4020810484323931,-0.8574149167427265,0.0006914541687907416,-0.004643108183143598,-0.000111439400959511,0.0013082266774797201,-0.0003840417402752398,50.28375179814074,-0.055911144521360256,-0.05975782412649645,0.0013756174775838986,0.0011750649040780567,0.0016063265631264456,5.733754217154342e-05,0.0016053135089800013,0.0006306651273153585,-0.7867279330162973,0.0024066368611700196,0.18108476911272323,10.923062397419356,1,0,0.039886039886039885
174.65020751953125,67891.0,3,20,45,-0.19438081569018095,-0.3505437946188863,-0.5952558725816175,-1.0520418273581527,0.0001682702136559928,2.022819500794049e-05,0.00017473612762575804,0.0008793078863652111,-0.0010722699949909972,60.19420851384638,-0.06657690756910029,-0.061121640815017225,0.0025536831250783714,-0.00037303055628137925,0.001663759501178551,0.0002581650496698525,0.0017488613108707725,0.0005447473744987707,-0.6793858882754907,0.002406663685514028,0.19430650983537948,69.71959811233312,1,0,0.039886039886039885
174.5,105052.0,3,20,50,-0.039966315572371514,-0.1924799505743806,-0.43623551437610786,-0.892860832127127,0.0015508875805873925,8.092070437594809e-05,0.0024694055305796003,-0.0003532278226968796,-0.000584895397183113,50.56419683701441,-0.06219219720148317,-0.06133575209231042,0.002179839422084768,-0.0006309393468412242,0.00057304625811637,0.0013467855060659566,-0.0010302958152573743,0.0022896044846691093,-0.5038936874566122,0.002406476522473694,0.19859204973493302,30.149404702019417,1,0,0.09226190476190477
175.8466033935547,58396.0,0,20,30,0.2854323142587418,0.18801262561126464,-0.018745016262698755,-0.5052015514860955,-0.0006825587327211593,-0.004435850803039113,-0.0010497723877783281,-0.0009381379117371799,-0.00014517287533287807,20.924305574756588,0.014891371834011125,-0.04492406086903874,0.0005393812415228952,0.0016090471890145733,-0.00028352830338376365,0.0013608839438276528,0.0007371145116045356,0.0001133356819485847,-0.7242258669298663,0.0024205680238982862,0.18690054757254465,4.871739771874862,1,0,0.039886039886039885
175.91000366210938,67238.0,0,20,35,0.20088613658938925,0.1197255979563181,-0.08051864551407562,-0.5629440904881449,-0.0010232088683653415,-0.003410522743844396,-0.0018078667836055038,-0.0011933561224446118,-0.00011678042470980208,29.203983141927353,0.029550464177503954,-0.0300291558597302,2.840133229957102e-05,0.0021189298862890316,-0.000510443758929304,0.0010776611878921148,-0.00011333865416961757,0.0010765010844546743,-0.6824696698511945,0.0024205988030019374,0.18404279436383927,8.474049815909176,1,0,0.039886039886039885
175.8800048828125,60959.0,0,20,40,0.2088958762780635,0.1438528330471911,-0.04951947282677338,-0.527642372771453,-0.0010233833908588855,-0.0017055522279497144,-0.002034510149261605,-0.0003703700079454754,-0.0011090516941916861,27.281853257473216,0.043091815624990204,-0.01540496156278612,-0.00042566153742782325,0.0021472702332531713,2.840133229957102e-05,0.0005675071094249648,5.663572713096895e-05,0.001416671379105031,-0.7121221423073109,0.0024206651341236425,0.18404279436383927,5.986050811650065,1,0,0.039886039886039885
175.94000244140625,86216.0,0,20,45,0.1347175255239108,0.08056683231802708,-0.10734837733298264,-0.5817927678690182,0.0011931932306968602,-0.002319051440001582,-0.002261805291956305,5.505933555881987e-05,-0.0011662079611680497,34.40144673784775,0.04842393170741843,-0.0026391829087452096,-0.0006812098855820334,0.0017223418304968933,0.0005962468160316057,-5.683491881963577e-05,-0.0005989213191002122,0.002039894713661225,-0.5928463823416905,0.0024205883250751066,0.18321446010044642,0.3038605202245779,1,0,0.039886039886039885
176.0,328311.0,0,20,55,0.07150503971632816,0.023508784196991428,-0.15845490489311942,-0.6278998208364044,0.0,-0.0005113428289240056,0.00029398381100649053,-0.0012481635698235675,-0.0006826312602900516,44.26661842135638,0.03842524731362573,0.012026578123413359,0.0007386193531796137,0.000814830928651486,0.00045418166348300596,0.0008799499022812082,5.667426419067334e-05,0.001304286806733145,0.550443205054946,0.0024188331545629107,0.20285797119140625,135.7957835446487,1,0,0.09226190476190477
