high,low,close,open,volume,ticket_AAPL,day_of_week,hour,minute,Return_5,MovingAvg_5,ExpMovingAvg_5,Volatility_5,Return_10,MovingAvg_10,ExpMovingAvg_10,Volatility_10,Return_20,MovingAvg_20,ExpMovingAvg_20,Volatility_20,Return_30,MovingAvg_30,ExpMovingAvg_30,Volatility_30,Return_50,MovingAvg_50,ExpMovingAvg_50,Volatility_50
141.88999938964844,140.9199981689453,141.68499755859375,141.06500244140625,6100328,1,0,13,30,0.020417654522568718,139.28899841308595,139.65403261924746,1.5924841077221688,0.023512936011344632,139.04998779296875,139.25234698075388,1.0973386725586902,0.021905085044960915,138.87349853515624,139.07113955895412,0.7828465688602498,0.01602725463795518,138.96675516764324,139.09081644165389,0.6500029869146351,0.014644787867973186,139.12831695556642,139.28236724589735,0.5276635876390987
142.1649932861328,141.50999450683594,141.77999877929688,141.67999267578125,2092310,1,0,13,35,0.020734377317243258,139.86499938964843,140.3626880059306,1.58895395393859,0.023276000678388753,139.37248840332032,139.71192003503444,1.0979863434042378,0.02191143985706856,139.0254981994629,139.32912615136772,0.7828351905557117,0.01714613243499241,139.04642181396486,139.26431207634053,0.6495128807805799,0.015325117437712255,139.17111694335938,139.38031358054047,0.5276843494233148
142.61000061035156,141.75,142.5050048828125,141.77999877929688,2713685,1,0,13,40,0.026545147415151238,140.60199890136718,141.0767936315579,1.5460739708190556,0.02665618963486205,139.74248962402345,140.21975364372133,1.1047552442061075,0.027544488527714073,139.21649856567382,139.6315907924577,0.7913629453529808,0.022861804798855356,139.15259195963543,139.4733890315968,0.6593388204760114,0.01739511907419211,139.2198471069336,139.50285049435504,0.5337386860816056
142.58999633789062,142.01499938964844,142.52000427246094,142.5,1993007,1,0,13,45,0.0271712019636825,141.3559997558594,141.55786384519226,1.5354118183500476,0.02661629681574107,140.11199035644532,140.63798103076488,1.1049325408164672,0.027541509792853303,139.40749893188476,139.90667779055326,0.7913629453529808,0.022271714922049046,139.25609232584637,139.66994485358805,0.6595473445744596,0.02326253246381893,139.28464721679688,139.6211702503592,0.519934199142078
142.69000244140625,142.02090454101562,142.14500427246094,142.52999877929688,1449190,1,0,13,50,0.02787628298131306,142.127001953125,141.7535773209485,1.5189915349373861,0.022479564929916096,140.42450103759765,140.9119852565278,1.129365639158516,0.02524432826387235,139.58249893188477,140.11985174121114,0.7997886075227962,0.020020872092571196,139.34909261067708,139.82962610641857,0.6647271094242031,0.02130343262473544,139.34394744873046,139.72014413357888,0.5231575564807699
142.30999755859375,141.72999572753906,142.0,142.14300537109375,1440757,1,0,13,55,0.0022232589676687287,142.19000244140625,141.83571821396566,0.4113058458049742,0.02268630722375331,140.7395004272461,141.10980611897727,1.1282113174532669,0.023792380132418023,139.74749908447265,140.2989134801434,0.8026133484569284,0.017921146953405076,139.43242594401042,139.96965022858512,0.6660521887526794,0.019090692066606962,139.39714935302734,139.80955024598757,0.5237376605507399
142.17999267578125,141.63999938964844,141.8350067138672,142.0050048828125,1328623,1,0,14,0,0.00038798092145531093,142.2010040283203,141.83548104726617,0.4225303778287551,0.02113040278151579,141.0330017089844,141.2416607725936,1.1358446258894983,0.02326676350418233,139.90874938964845,140.44520807383137,0.8040413313425101,0.018125110900324426,139.51659291585287,140.08999580828075,0.6657138466160266,0.01794236824586304,139.44714935302736,139.8889799113946,0.524588792143499
141.88999938964844,141.50999450683594,141.5753936767578,141.8300018310547,1606923,1,0,14,5,-0.006523358297620074,142.01508178710938,141.74878525709673,0.1446223835920071,0.019848625609878878,141.30854034423828,141.30233948244165,1.1437998481376366,0.019958943461404255,140.04726943969726,140.55284479791962,0.8094449347080335,0.017179366473929703,139.59629618326824,140.18582792882768,0.6676158004002894,0.016480434503005847,139.49305725097656,139.9551137845461,0.5262201165639417
142.19000244140625,141.5,142.13999938964844,141.57000732421875,2176487,1,0,14,10,-0.0026663266307936917,141.93908081054687,141.8791899679473,0.36951719221656715,0.024432428033502207,141.6475402832031,141.45464128375195,1.1400968393555075,0.023105210415999444,140.20776977539063,140.70400237808428,0.8150080556705871,0.02353981134044969,139.70526275634765,140.31190350694516,0.6690345224799669,0.020094754739105714,139.5490573120117,140.0407955729815,0.5313100724192273
142.22000122070312,141.7899932861328,141.85000610351562,142.13999938964844,1163807,1,0,14,15,-0.0020753326538290873,141.8800811767578,141.86946201313674,0.35394875534200565,0.025743097767145562,142.0035415649414,141.52652579643626,1.128062134683668,0.022526580374904848,140.36401977539063,140.81314559003013,0.81723304032241,0.023895042487161122,139.81560974121095,140.41113593253036,0.6681366960396586,0.016335879197888703,139.59465728759767,140.11174500555148,0.5329213436036514
142.19000244140625,141.7100067138672,141.80999755859375,141.85000610351562,834264,1,0,14,20,-0.0013380453620158717,141.84208068847656,141.8496405282891,0.3506700474290648,0.0008822387843026025,142.01604156494142,141.57806611682852,0.36424517338301476,0.024415918819729265,140.53301467895508,140.90808387275047,0.811796366560773,0.02280664934486354,139.92101287841797,140.50138506969574,0.6687008007732314,0.014413959126157394,139.63495727539063,140.17834314488647,0.5324183564175894
141.80999755859375,141.47999572753906,141.625,141.80999755859375,695188,1,0,14,25,-0.0014806409132186449,141.80007934570312,141.77476035219274,0.35259001065208945,-0.001093234452189229,142.00054168701172,141.5865995501324,0.36794169519815295,0.022157320100348654,140.686515045166,140.97636159915518,0.8156307718150068,0.020794251063930513,140.01717936197917,140.57387635552183,0.6708013283095114,0.01581553478707365,139.6790573120117,140.23507478626348,0.530066589814906
