high,low,close,open,volume,day_of_week,hour,minute,Return_5,MovingAvg_5,ExpMovingAvg_5,Volatility_5,Return_10,MovingAvg_10,ExpMovingAvg_10,Volatility_10,Return_20,MovingAvg_20,ExpMovingAvg_20,Volatility_20,Return_30,MovingAvg_30,ExpMovingAvg_30,Volatility_30,Return_50,MovingAvg_50,ExpMovingAvg_50,Volatility_50
124.91999816894531,122.62000274658203,122.66500091552734,123.44000244140625,3598463,1,13,30,0.030235572169015068,119.74110107421875,120.22068277524721,1.7220593306989076,0.03192647791639258,119.44905090332031,119.67639734607002,1.2128065621034776,0.03149178274676423,119.15808067321777,119.32313303776141,0.8809161566830449,0.03383901675528178,119.10024719238281,119.1249501078039,0.7278468813942274,0.029587053415623732,118.8866943359375,118.72361261352505,0.5925681419641634
123.18000030517578,122.05999755859375,122.08989715576172,122.6989974975586,1631459,1,13,35,0.02475559657335724,120.33097991943359,120.84375423541873,1.8054923087020738,0.02708752700245287,119.77104034423829,120.11521549328668,1.2459867365165813,0.026828390150932968,119.31757545471191,119.58663438233286,0.896398562314778,0.026569384028231724,119.20557708740235,119.31623701412377,0.7385896505341926,0.0286503886999796,118.95470428466797,118.85562377204414,0.5950589487352977
122.5,121.58999633789062,122.12999725341797,122.08999633789062,1326374,1,13,40,0.026302497927882085,120.95697937011718,121.27250190808515,1.7889581849913256,0.023721660765024355,120.0540397644043,120.48153944967419,1.2483295311932125,0.029763902400615327,119.49407539367675,119.8288594176743,0.8904289502089328,0.026992929144787903,119.31257705688476,119.49776993278792,0.7383764869743492,0.031067964541896975,119.02830429077149,118.98403057523527,0.5934227321656025
122.16999816894531,121.12010192871094,121.55000305175781,122.0999984741211,1079647,1,13,45,0.021171169438835902,121.46098022460937,121.36500228930937,1.859184710594032,0.01851857534510004,120.27504043579101,120.67580555914394,1.2768105718579705,0.02143547319201855,119.62161560058594,119.99277785901558,0.9043508098036094,0.019201751421331403,119.38891042073568,119.63017206949566,0.7474151356772524,0.023234296783894548,119.0835043334961,119.08465694686362,0.5992284631050238
121.88999938964844,120.26000213623047,120.35990142822266,121.55000305175781,1140142,1,13,50,0.012533849139525266,121.7589599609375,121.02996866894713,2.0026943717537358,0.009646022586873526,120.39003067016601,120.61836844443097,1.3510421962172976,0.009629093227001784,119.67901077270508,120.02774200846386,0.9506137008811827,0.00998492303063081,119.42857386271159,119.67725138296191,0.7820420030297439,0.017412496393289345,119.1247023010254,119.1346665343679,0.6200460051401095
121.12000274658203,120.30010223388672,121.01000213623047,120.33200073242188,778353,1,13,55,-0.013492021089508532,121.42796020507812,121.02331315804159,0.699984685419332,0.016335612102148955,120.58453063964843,120.68957457021268,1.3574226888735468,0.014673821638884199,119.76651077270508,120.12129059206069,0.959790202007068,0.017061680299394366,119.49624048868814,119.76323530252763,0.7885487878394971,0.024987333886506535,119.18370239257813,119.20820910698997,0.6245690229350034
121.9000015258789,120.7300033569336,121.49500274658203,120.993896484375,905544,1,14,0,-0.004872593253319901,121.3089813232422,121.18054302088841,0.7650849327217564,0.01976237936719194,120.81998062133789,120.83601605682529,1.3596089273202334,0.021138917365018495,119.89226608276367,120.25212032106272,0.9596148047217073,0.023833129900902694,119.590513865153,119.87496223440212,0.788720827654552,0.028659741924798476,119.25140243530274,119.29788728893476,0.62746408619662
121.61000061035156,120.81999969482422,121.38999938964844,121.47000122070312,800553,1,14,5,-0.006059099978804161,121.16098175048828,121.2503618104751,0.7602792263676313,0.020084028484440575,121.05898056030273,120.93674029915675,1.3585641840430116,0.02068442847187657,120.0152660369873,120.36048975616612,0.9602246214993183,0.02119960111752306,119.67451375325521,119.97270656699867,0.7892601372581873,0.025513192303728394,119.31180236816407,119.37993090072746,0.6273043980486435
121.41000366210938,121.06999969482422,121.2300033569336,121.37000274658203,572657,1,14,10,-0.0026326588793910144,121.09698181152343,121.2435756592946,0.7229009045935897,0.018482774092234644,121.2789810180664,120.99006085511617,1.3631326778700683,0.023209811258936508,120.15276107788085,120.44330057528683,0.9532842932349679,0.0187395240078454,119.74884719848633,120.05382248892995,0.7904523020333651,0.021142201064876298,119.36200241088868,119.45248276175515,0.6266453405912228
121.66000366210938,120.72000122070312,121.2699966430664,121.2300033569336,817676,1,14,15,0.007561448655609704,121.27900085449218,121.25238265388522,0.36415167202857623,0.020190071851860836,121.51898040771485,121.04095827110712,1.3583970109242833,0.02389390529656721,120.29426078796386,120.52203353412298,0.9526669971655449,0.017972104859618643,119.8202138264974,120.13228533758392,0.7904070842537883,0.022237692709391688,119.41476440429688,119.52375781592421,0.6263301385902703
121.45999908447266,120.37000274658203,120.5199966430664,121.29000091552734,1197049,1,14,20,-0.004049297450738232,121.18099975585938,121.00825398361229,0.4438266592270778,-0.017486685333643615,121.30447998046876,120.9462379750997,0.5660352942198162,0.013881504309613435,120.37676544189453,120.52183954449855,0.9702387597458484,0.01345441051763241,119.8735471089681,120.1572989701957,0.8030940009529487,0.017733478353251675,119.4567643737793,119.56282600522391,0.6355260251804088
120.79000091552734,119.63999938964844,119.66500091552734,120.51470184326172,1216952,1,14,25,-0.015062362975304944,120.81499938964843,120.56050296091732,0.406804698892731,-0.019861563460412346,121.0619903564453,120.71328578245019,0.5921644951300277,0.00668796290549567,120.4165153503418,120.44023586554891,0.9926429024948894,0.0064339729169973214,119.89904708862305,120.12553780537839,0.8200143561970554,0.009149933106077146,119.47846435546874,119.5668328644515,0.6477724001779152
