iter	Precision	CrossEntropy
498	1	0.09509047703
499	1	0.09465345717
500	1	0.09465324638
501	1	0.09431381365
502	1	0.09395411649
503	1	0.09394927063
504	1	0.09394412372
505	1	0.09360077885
506	1	0.09351386452
507	1	0.09312127386
508	1	0.09311414705
509	1	0.09267978004
510	1	0.09258303684
511	1	0.0925663572
512	1	0.09234255169
513	1	0.0922461223
514	1	0.09211218466
515	1	0.09179508232
516	1	0.0914314796
517	1	0.09139745786
518	1	0.09109909911
519	1	0.09107236764
520	1	0.09106520894
521	1	0.09097714691
522	1	0.09079037548
523	1	0.09047802814
524	1	0.09047164148
525	1	0.09034202432
526	1	0.09033849022
527	1	0.09032579357
528	1	0.09032578416
529	1	0.0903257704
530	1	0.09031871781
531	1	0.09011021714
532	1	0.09001691251
533	1	0.08988546886
534	1	0.08978638787
535	1	0.08944322613
536	1	0.08944321749
537	1	0.08939581257
538	1	0.0893900117
539	1	0.08916256582
540	1	0.08896518378
541	1	0.0886075983
542	1	0.08851389316
543	1	0.08851382113
544	1	0.08851376263
545	1	0.08810228895
546	1	0.08781514022
547	1	0.08753133456
548	1	0.08739702788
549	1	0.08694110158
550	1	0.08690423763
551	1	0.08655751292
552	1	0.08650954654
553	1	0.08603499256
554	1	0.08596939026
555	1	0.08596918983
556	1	0.08588192305
557	1	0.08527757409
558	1	0.085034586
559	1	0.08461896942
560	1	0.08456576755
561	1	0.084285989
562	1	0.0839525553
563	1	0.08369187167
564	1	0.08342581852
565	1	0.08341492131
566	1	0.08318095109
567	1	0.08311808393
568	1	0.08308533872
569	1	0.082688273
570	1	0.08233569001
571	1	0.08200442414
572	1	0.08197755279
573	1	0.08195532952
574	1	0.08190405077
575	1	0.08189833432
576	1	0.08185852099
577	1	0.08185845161
578	1	0.08183895766
579	1	0.08180223972
580	1	0.08154693085
581	1	0.08148985602
582	1	0.08105980676
583	1	0.08050890723
584	1	0.08025765211
585	1	0.07987338612
586	1	0.07971300411
587	1	0.07971273851
588	1	0.07969523768
589	1	0.07968888114
590	1	0.07968873521
591	1	0.07924224859
592	1	0.07924209788
593	1	0.07902838718
594	1	0.07901270556
595	1	0.079006239
596	1	0.0789253503
597	1	0.07855571196
598	1	0.07829955998
599	1	0.07829487207
600	1	0.07823077208
601	1	0.07820221861
602	1	0.07769972229
603	1	0.07769560025
604	1	0.07723453948
605	1	0.07722889161
606	1	0.0768598597
607	1	0.076449436
608	1	0.07644934518
609	1	0.07623202859
610	1	0.0758722775
611	1	0.0755894512
612	1	0.07533052185
613	1	0.07494933041
614	1	0.07466373502
615	1	0.0746635555
616	1	0.07465880612
617	1	0.07459428759
618	1	0.07421808573
619	1	0.07421795827
620	1	0.07421268193
621	1	0.07396390721
622	1	0.07386280608
623	1	0.07346317186
624	1	0.07328306347
625	1	0.07320693215
626	1	0.07320117756
627	1	0.07294615314
628	1	0.07294195867
629	1	0.0729419402
630	1	0.07235014153
631	1	0.07198800391
632	1	0.07182010399
633	1	0.07179293226
634	1	0.07174600218
635	1	0.07174588453
636	1	0.07174578901
637	1	0.07174571145
638	1	0.07145936587
639	1	0.07120339441
640	1	0.07120324452
641	1	0.07119482482
642	1	0.07113044826
643	1	0.07113041932
644	1	0.07050240147
645	1	0.07028494517
646	1	0.07028319203
647	1	0.07027588535
648	1	0.07018417696
649	1	0.07017988762
650	1	0.06991513041
651	1	0.06991499612
652	1	0.06971299064
653	1	0.06960777627
654	1	0.06960763326
655	1	0.06960127101
656	1	0.06959677108
657	1	0.0693100258
658	1	0.06931002323
659	1	0.06909094168
660	1	0.06907881599
661	1	0.06887245039
662	1	0.06868269243
663	1	0.06857955387
664	1	0.06856557762
665	1	0.06834295642
666	1	0.06799012771
667	1	0.0679900761
668	1	0.06799006997
669	1	0.06785154604
670	1	0.06776957688
671	1	0.06751887524
672	1	0.06723633799
673	1	0.06667916154
674	1	0.06632552237
675	1	0.06602729688
676	1	0.06600276537
677	1	0.06589842756
678	1	0.06569125197
679	1	0.06548481306
680	1	0.065209045
681	1	0.06516670843
682	1	0.06496443539
683	1	0.06466358325
684	1	0.06441723796
685	1	0.06432067634
686	1	0.06413116007
687	1	0.06409269538
688	1	0.0640926838
689	1	0.06409265326
690	1	0.06403137499
691	1	0.06401777917
692	1	0.06397773201
693	1	0.06375342693
694	1	0.06374868454
695	1	0.06352273806
696	1	0.06325577202
697	1	0.06303831189
698	1	0.06296043397
699	1	0.06295509072
700	1	0.06288988413
701	1	0.06273893241
702	1	0.0627339843
703	1	0.06261335028
704	1	0.0622425333
705	1	0.06224253207
706	1	0.06223782128
707	1	0.06207873783
708	1	0.06207872525
709	1	0.06185206725
710	1	0.06184794188
711	1	0.06153297872
712	1	0.06134214811
713	1	0.06132864635
714	1	0.06131402375
715	1	0.06102120775
716	1	0.06093198061
717	1	0.06088446531
718	1	0.0605546396
719	1	0.06032169099
720	1	0.06031806851
721	1	0.06015919065
722	1	0.06015491963
723	1	0.06009970008
724	1	0.05976483736
725	1	0.05954514725
726	1	0.05954093694
727	1	0.05939600099
728	1	0.05887296122
729	1	0.05884653645
730	1	0.05884238978
731	1	0.05861649567
732	1	0.05833026097
733	1	0.05814485126
734	1	0.05812970061
735	1	0.05811545476
736	1	0.05811002554
737	1	0.05810784832
738	1	0.0579469283
739	1	0.05768540745
740	1	0.05768158143
741	1	0.05759690214
742	1	0.05759690057
743	1	0.05758605717
744	1	0.05728257463
745	1	0.0572568375
746	1	0.05725344841
747	1	0.0569886373
748	1	0.05682792204
749	1	0.05682791959
750	1	0.0566333865
751	1	0.05652345352
752	1	0.05622336824
753	1	0.05600580453
754	1	0.05600579814
755	1	0.05597326955
756	1	0.05592949099
757	1	0.05571997809
758	1	0.0554952465
759	1	0.05537340756
760	1	0.05519248857
761	1	0.05519247844
762	1	0.0551924679
763	1	0.05509071467
764	1	0.0548913054
765	1	0.0548877166
766	1	0.05488768984
767	1	0.05488767401
768	1	0.05487918139
769	1	0.05470771536
770	1	0.0547057556
771	1	0.05447160309
772	1	0.05428740658
773	1	0.05418578457
774	1	0.05386269257
775	1	0.05366976012
776	1	0.05338551543
777	1	0.05327102704
778	1	0.05298826627
779	1	0.05298821654
780	1	0.05298201291
781	1	0.05276973018
782	1	0.052597264
783	1	0.05231587633
784	1	0.05228327176
785	1	0.05227731104
786	1	0.05212678039
787	1	0.05209369787
788	1	0.05191358128
789	1	0.05171113611
790	1	0.05167957008
791	1	0.05167956723
792	1	0.05149866561
793	1	0.05149524531
794	1	0.05149522568
795	1	0.05129484576
796	1	0.05107038448
797	1	0.05096686662
798	1	0.0509167276
799	1	0.05090043277
800	1	0.05089742196
801	1	0.05086688177
802	1	0.05071511969
803	1	0.05071511499
804	1	0.05048446497
805	1	0.05045499062
806	1	0.05044249401
807	1	0.0502084327
808	1	0.05018195433
809	1	0.04988666522
810	1	0.0497380199
811	1	0.04971213992
812	1	0.04970364645
813	1	0.04968109951
814	1	0.04967809777
815	1	0.04967809457
816	1	0.04955338844
817	1	0.04933853208
818	1	0.04915142427
819	1	0.04903449865
820	1	0.04903449781
821	1	0.04882684206
822	1	0.04882413487
823	1	0.04882180814
824	1	0.04857153786
825	1	0.04846287304
826	1	0.04834823525
827	1	0.04812921201
828	1	0.04807587022
829	1	0.04781738406
830	1	0.04764848004
831	1	0.04749249585
832	1	0.04747929942
833	1	0.04731547124
834	1	0.04730011323
835	1	0.04709018639
836	1	0.04691677702
837	1	0.04673492724
838	1	0.04673491749
839	1	0.0467168238
840	1	0.04668212368
841	1	0.04668035557
842	1	0.04665281133
843	1	0.0465104082
844	1	0.04632964317
845	1	0.04622825935
846	1	0.04622825757
847	1	0.04608699491
848	1	0.0460752453
849	1	0.04584224129
850	1	0.04559764353
851	1	0.0454453415
852	1	0.04544196443
853	1	0.04541167503
854	1	0.04541166517
855	1	0.04539755254
856	1	0.04539219504
857	1	0.0452688453
858	1	0.04526884464
859	1	0.04525327436
860	1	0.04518326232
861	1	0.04509969436
862	1	0.04509969042
863	1	0.04504468134
864	1	0.0449493569
865	1	0.04477557089
866	1	0.04477435586
867	1	0.04476272922
868	1	0.04461150623
869	1	0.04449609229
870	1	0.04449434328
871	1	0.04430102938
872	1	0.04421322134
873	1	0.0442065543
874	1	0.04396195299
875	1	0.04383627188
876	1	0.04367297085
877	1	0.04366476849
878	1	0.04338898363
879	1	0.04330042583
880	1	0.04293059701
881	1	0.04267439525
882	1	0.04267437
883	1	0.04267045732
884	1	0.04258122466
885	1	0.04242235709
886	1	0.04221766364
887	1	0.04221271481
888	1	0.04204969378
889	1	0.04183102743
890	1	0.04182884334
891	1	0.04182883433
892	1	0.04181523251
893	1	0.04181521888
894	1	0.04151812409
895	1	0.04144073179
896	1	0.04144072674
897	1	0.04144067647
898	1	0.04142859612
899	1	0.04142854426
900	1	0.04142433101
901	1	0.04134274242
902	1	0.04115706755
903	1	0.04113203539
904	1	0.04104906065
905	1	0.04091064038
906	1	0.04091063767
907	1	0.04090792923
908	1	0.04074612713
909	1	0.040637595
910	1	0.04046242064
911	1	0.04036605073
912	1	0.04036604946
913	1	0.04036302023
914	1	0.04011533355
915	1	0.04011533313
916	1	0.04010753861
917	1	0.03996831547
918	1	0.03981288673
919	1	0.03981288564
920	1	0.03981288279
921	1	0.03965537756
922	1	0.03965291116
923	1	0.03965060342
924	1	0.03951364874
925	1	0.03945190786
926	1	0.03922179655
927	1	0.03908836096
928	1	0.03881330812
929	1	0.03878649722
930	1	0.03847307223
931	1	0.03847305866
932	1	0.0384459506
933	1	0.03831606333
934	1	0.03825945543
935	1	0.03822551049
936	1	0.03822380305
937	1	0.03821382179
938	1	0.03820245018
939	1	0.03802279502
940	1	0.03798758149
941	1	0.03778102288
942	1	0.03765950711
943	1	0.03765683236
944	1	0.03761640706
945	1	0.03750232028
946	1	0.03750231772
947	1	0.03747609519
948	1	0.03747324693
949	1	0.03744875575
950	1	0.03731227147
951	1	0.03714681911
952	1	0.03706050111
953	1	0.03701870969
954	1	0.03698768711
955	1	0.03698487506
956	1	0.03697787919
957	1	0.03681522737
958	1	0.03666480084
959	1	0.03665953931
960	1	0.03665953654
961	1	0.03663287276
962	1	0.0366311348
963	1	0.03657258626
964	1	0.03657008543
965	1	0.03651843534
966	1	0.03632876726
967	1	0.03618114802
968	1	0.03611361086
969	1	0.03599053765
970	1	0.0357930531
971	1	0.03568374526
972	1	0.03555483224
973	1	0.03543677874
974	1	0.03538448886
975	1	0.03526622467
976	1	0.03508275444
977	1	0.03501370616
978	1	0.03476420315
979	1	0.03457000326
980	1	0.03448890651
981	1	0.03448885722
982	1	0.03447914999
983	1	0.03436979965
984	1	0.0343086779
985	1	0.03422090079
986	1	0.03421939611
987	1	0.03406507015
988	1	0.03406506706
989	1	0.03406506697
990	1	0.03404036827
991	1	0.03384987076
992	1	0.03384799814
993	1	0.03372625612
994	1	0.03364169787
995	1	0.03361579835
996	1	0.03359713208
997	1	0.03356072075
998	1	0.03350153868
999	1	0.03340178743
