ticket,accuracy_low_model,accuracy_high_model,precision_low_model,precision_high_model,sample_size,p_success_strategy,num_interesting_bets
HES,0.6371794871794871,0.65,0.6387782204515272,0.6875,780,0.5714285714285714,7
DVN,0.6089743589743589,0.6282051282051282,0.6074074074074074,0.631578947368421,780,0.0,0
PXD,0.6525641025641026,0.7051282051282052,0.655217965653897,0.6956521739130435,780,0.0,0
OXY,0.6448717948717949,0.6782051282051282,0.6502659574468085,0.7692307692307693,780,0.0,0
EOG,0.6641025641025641,0.6756410256410257,0.6639118457300276,0.5263157894736842,780,0.3181818181818182,22
COP,0.6512820512820513,0.6705128205128205,0.656578947368421,0.5072463768115942,780,0.2966101694915254,118
CVX,0.7564102564102564,0.8051282051282052,0.7585301837270341,0.44642857142857145,780,0.3684210526315789,38
XOM,0.7576923076923077,0.7769230769230769,0.7653333333333333,0.6,780,0.0,0
HST,0.7051282051282052,0.7217948717948718,0.7122207621550591,0.7647058823529411,780,0.26666666666666666,15
CBRE,0.7102564102564103,0.7410256410256411,0.713907284768212,0.6333333333333333,780,0.4,5
VICI,0.7987179487179488,0.8076923076923077,0.8020698576972833,0.6,780,0.3333333333333333,3
PEAK,0.7717948717948718,0.7743589743589744,0.7741935483870968,0.625,780,0.3333333333333333,3
VTR,0.6948717948717948,0.708974358974359,0.6998654104979811,0.6774193548387096,780,0.0,0
WELL,0.7281831187410587,0.765379113018598,0.7299270072992701,0.8181818181818182,699,0.0,0
VNO,0.6615384615384615,0.6525641025641026,0.6703601108033241,0.6231884057971014,780,0.45454545454545453,11
BXP,0.7871794871794872,0.7692307692307693,0.7919375812743823,0.4375,780,0.0,5
ARE,0.8192307692307692,0.7897435897435897,0.8214747736093143,0.4,780,0.0,0
DLR,0.7025641025641025,0.717948717948718,0.7118193891102258,0.4375,780,1.0,1
FRT,0.782051282051282,0.8141025641025641,0.7868217054263565,0.75,780,0.5,2
REG,0.7794871794871795,0.7858974358974359,0.7819354838709678,0.75,780,0.0,0
KIM,0.7602564102564102,0.7487179487179487,0.7609254498714653,0.5,780,1.0,1
SPG,0.7743589743589744,0.7538461538461538,0.7805519053876478,0.5384615384615384,780,0.0,0
O,0.867948717948718,0.8384615384615385,0.8702983138780804,0.5,780,0.0,0
CPT,0.7564102564102564,0.7435897435897436,0.7580853816300129,0.5,780,0.0,0
