category,subcategory,company_name,company_code,company_value
Technology,Information Technology Services,"Fiserv, Inc.",FISV,60036
Technology,Information Technology Services,International Business Machines Corporation,IBM,125504
Technology,Information Technology Services,Accenture plc,ACN,173315
Technology,Semiconductors,"Qorvo, Inc.",QRVO,10380
Technology,Semiconductors,"Skyworks Solutions, Inc.",SWKS,15588
Technology,Semiconductors,"Monolithic Power Systems, Inc.",MPWR,17576
Technology,Semiconductors,ON Semiconductor Corporation,ON,22302
Technology,Semiconductors,Microchip Technology Incorporated,MCHP,32439
Technology,Semiconductors,NXP Semiconductors N.V.,NXPI,39387
Technology,Semiconductors,"Micron Technology, Inc.",MU,64964
Technology,Semiconductors,"Analog Devices, Inc.",ADI,76254
Technology,Semiconductors,"Advanced Micro Devices, Inc.",AMD,123664
Technology,Semiconductors,Texas Instruments Incorporated,TXN,141662
Technology,Semiconductors,QUALCOMM Incorporated,QCOM,147141
Technology,Semiconductors,Intel Corporation,INTC,152752
Technology,Semiconductors,Broadcom Inc.,AVGO,194329
Technology,Semiconductors,NVIDIA Corporation,NVDA,377526
Technology,Consumer Electronics,Apple Inc.,AAPL,2349692
Technology,Software - Infrastructure,"F5, Inc.",FFIV,9115
Technology,Software - Infrastructure,NortonLifeLock Inc.,NLOK,13312
Technology,Software - Infrastructure,"Akamai Technologies, Inc.",AKAM,14436
Technology,Software - Infrastructure,"VeriSign, Inc.",VRSN,19107
Technology,Software - Infrastructure,"Fortinet, Inc.",FTNT,47028
Technology,Software - Infrastructure,"Synopsys, Inc.",SNPS,47150
Technology,Software - Infrastructure,Adobe Inc.,ADBE,176406
Technology,Software - Infrastructure,Oracle Corporation,ORCL,187532
Technology,Software - Infrastructure,Microsoft Corporation,MSFT,1902451
